paper_id,MethodTransparency__agent_A,MethodTransparency__agent_B,MethodTransparency__agent_C,MethodTransparency__agent_D,conflict_class
8,3,3,1,3,严重分歧
13,1,1,0,2,严重分歧
14,2,1,0,2,严重分歧
15,3,1,1,1,严重分歧
16,1,2,1,1,相邻分歧
17,2,1,1,2,相邻分歧
18,2,1,1,1,相邻分歧
19,1,1,1,2,相邻分歧
20,2,1,1,2,相邻分歧
21,2,1,0,2,严重分歧
22,2,1,0,2,严重分歧
23,2,1,0,1,严重分歧
24,2,1,0,1,严重分歧
25,2,1,2,1,相邻分歧
26,3,1,2,1,严重分歧
27,2,1,2,1,相邻分歧
28,3,1,2,1,严重分歧
29,3,1,2,1,严重分歧
30,2,1,2,2,相邻分歧
31,2,1,2,2,相邻分歧
32,3,1,2,1,严重分歧
33,2,1,2,1,相邻分歧
34,1,1,2,1,相邻分歧
35,3,1,2,1,严重分歧
36,3,1,2,1,严重分歧
37,3,1,2,1,严重分歧
38,3,1,2,1,严重分歧
39,3,1,2,2,严重分歧
40,3,1,2,2,严重分歧
41,2,1,2,2,相邻分歧
42,3,1,2,2,严重分歧
43,2,1,2,1,相邻分歧
44,3,1,2,1,严重分歧
45,3,1,2,1,严重分歧
46,3,1,2,1,严重分歧
47,3,1,2,1,严重分歧
48,2,1,2,2,相邻分歧
49,2,2,2,1,相邻分歧
50,2,1,2,2,相邻分歧
51,1,2,2,2,相邻分歧
52,2,1,2,2,相邻分歧
53,2,1,2,2,相邻分歧
54,2,2,2,1,相邻分歧
55,2,1,2,2,相邻分歧
56,2,1,2,1,相邻分歧
57,2,1,2,1,相邻分歧
58,2,1,2,2,相邻分歧
59,2,1,2,2,相邻分歧
60,2,1,2,1,相邻分歧
62,2,1,0,1,严重分歧
63,2,2,0,1,严重分歧
64,2,1,0,2,严重分歧
65,2,1,0,2,严重分歧
66,2,1,0,2,严重分歧
67,2,1,0,1,严重分歧
68,2,1,0,1,严重分歧
69,2,1,0,2,严重分歧
70,1,2,0,2,严重分歧
71,1,2,0,2,严重分歧
72,2,2,0,1,严重分歧
73,2,2,0,2,严重分歧
74,2,1,0,2,严重分歧
75,2,1,0,1,严重分歧
76,2,2,0,2,严重分歧
77,2,1,0,2,严重分歧
78,2,1,0,1,严重分歧
79,2,2,0,2,严重分歧
