paper_id,coder_notes_rule_code__agent_A,coder_notes_rule_code__agent_B,coder_notes_rule_code__agent_C,coder_notes_rule_code__agent_D,conflict_class
1,902,906,906,906,多派分歧
2,902,906,906,906,多派分歧
3,902,908,906,906,多派分歧
4,902,906,906,906,多派分歧
5,902,908,902,902,多派分歧
6,902,906,902,906,两派分歧
7,902,905,909,902,多派分歧
8,909,907,909,909,多派分歧
9,902,905,909,902,多派分歧
10,902,906,906,906,多派分歧
11,902,905,906,906,多派分歧
12,902,906,906,906,多派分歧
13,902,905,902,907,多派分歧
14,906,906,902,904,多派分歧
15,906,906,909,906,多派分歧
16,906,907,909,902,多派分歧
17,906,906,909,907,多派分歧
18,902,906,904,906,多派分歧
19,902,905,904,907,多派分歧
20,906,905,907,907,多派分歧
21,906,906,906,907,多派分歧
22,906,906,906,907,多派分歧
26,906,905,906,902,多派分歧
28,906,906,906,902,多派分歧
30,906,906,906,907,多派分歧
31,906,906,906,907,多派分歧
32,906,906,906,902,多派分歧
33,905,906,906,906,多派分歧
34,902,906,906,906,多派分歧
36,906,905,906,906,多派分歧
37,906,906,906,902,多派分歧
38,906,906,906,902,多派分歧
39,906,906,906,907,多派分歧
40,906,906,906,909,多派分歧
41,905,905,906,907,多派分歧
42,906,905,906,907,多派分歧
43,906,905,906,906,多派分歧
44,905,905,906,906,两派分歧
45,905,906,906,902,多派分歧
46,905,905,906,906,两派分歧
48,906,906,906,909,多派分歧
49,906,905,906,906,多派分歧
50,906,906,906,907,多派分歧
51,902,905,906,907,多派分歧
52,902,906,906,907,多派分歧
53,902,905,906,907,多派分歧
54,902,905,906,906,多派分歧
55,902,905,906,907,多派分歧
56,902,905,906,906,多派分歧
57,902,906,906,906,多派分歧
58,902,906,906,909,多派分歧
59,906,906,906,909,多派分歧
60,906,906,906,902,多派分歧
61,902,905,906,907,多派分歧
62,906,906,902,906,多派分歧
63,906,905,902,902,多派分歧
64,902,906,902,907,多派分歧
65,906,906,902,909,多派分歧
66,905,906,902,907,多派分歧
67,905,905,902,906,多派分歧
68,906,906,909,906,多派分歧
69,906,906,909,907,多派分歧
70,906,905,909,907,多派分歧
71,906,905,909,907,多派分歧
72,909,905,909,906,多派分歧
73,909,905,909,907,多派分歧
74,909,905,909,907,多派分歧
75,909,906,909,902,多派分歧
76,909,905,909,903,多派分歧
77,909,906,909,907,多派分歧
78,906,906,909,908,多派分歧
79,908,905,908,907,多派分歧
80,906,906,906,902,多派分歧
