paper_id,MethodTag__agent_A,MethodFamily__agent_A,Methodology__agent_A,MethodTransparency__agent_A,MethodNormativity__agent_A,coder_notes_rule_code__agent_A,MethodTag__agent_B,MethodFamily__agent_B,Methodology__agent_B,MethodTransparency__agent_B,MethodNormativity__agent_B,coder_notes_rule_code__agent_B,MethodTag__agent_C,MethodFamily__agent_C,Methodology__agent_C,MethodTransparency__agent_C,MethodNormativity__agent_C,coder_notes_rule_code__agent_C,MethodTag__agent_D,MethodFamily__agent_D,Methodology__agent_D,MethodTransparency__agent_D,MethodNormativity__agent_D,coder_notes_rule_code__agent_D
1,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,2,906
2,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,1,906
3,10,199,1,1,1,902,20,103,3,1,2,908,20,102,3,1,1,906,20,102,3,1,1,906
4,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,1,906
5,10,199,1,1,1,902,20,103,3,1,2,908,40,199,1,1,1,902,10,199,1,1,1,902
6,40,199,1,1,1,902,20,102,3,1,2,906,40,199,1,1,1,902,20,102,3,1,1,906
7,10,199,1,1,1,902,20,101,3,1,2,905,30,107,2,1,2,909,10,199,1,1,1,902
8,30,107,2,3,2,909,20,105,2,3,2,907,30,107,2,1,2,909,30,107,2,3,1,909
9,10,199,1,1,1,902,20,101,3,1,2,905,30,107,2,1,2,909,10,199,1,1,1,902
10,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,1,906
11,10,199,1,1,1,902,20,101,3,1,2,905,20,102,3,1,1,906,20,102,3,1,1,906
12,40,199,1,1,1,902,20,102,3,1,2,906,20,102,3,1,1,906,20,102,3,1,2,906
13,10,199,1,1,1,902,20,101,3,1,2,905,10,199,1,0,1,902,20,105,2,2,1,907
14,20,102,3,2,2,906,20,102,3,1,2,906,10,199,1,0,1,902,20,106,3,2,2,904
15,20,102,3,3,2,906,20,102,3,1,2,906,30,107,2,1,2,909,20,102,3,1,2,906
16,20,102,3,1,2,906,20,105,2,2,2,907,30,107,2,1,2,909,10,199,1,1,1,902
17,20,102,3,2,2,906,20,102,3,1,2,906,30,107,2,1,2,909,20,105,2,2,2,907
18,40,199,1,2,1,902,20,102,3,1,2,906,20,106,3,1,2,904,20,102,3,1,1,906
19,10,199,1,1,1,902,20,101,3,1,2,905,20,106,3,1,2,904,20,105,2,2,2,907
20,20,102,3,2,2,906,20,101,3,1,2,905,20,105,2,1,2,907,20,105,2,2,2,907
21,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,0,1,906,20,105,2,2,2,907
22,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,0,1,906,20,105,2,2,2,907
23,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,0,1,906,20,102,3,1,1,906
24,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,0,1,906,20,102,3,1,2,906
25,20,102,3,2,2,906,20,102,3,1,2,906,20,102,3,2,2,906,20,102,3,1,2,906
26,20,102,3,3,2,906,20,101,3,1,2,905,20,102,3,2,2,906,10,199,1,1,1,902
