paper_id,MethodTag,MethodTag_status,MethodFamily,MethodFamily_status,Methodology,Methodology_status,MethodTransparency,MethodTransparency_status,MethodNormativity,MethodNormativity_status,coder_notes_rule_code,coder_notes_rule_code_status
1,20.0,多数,102.0,多数,3.0,多数,1.0,多数,,僵持,906.0,多数
2,20.0,多数,102.0,多数,3.0,多数,1.0,多数,1.0,多数,906.0,多数
3,20.0,多数,102.0,多数,3.0,多数,1.0,多数,1.0,多数,906.0,多数
4,20.0,多数,102.0,多数,3.0,多数,1.0,多数,1.0,多数,906.0,多数
5,10.0,多数,199.0,多数,1.0,多数,1.0,多数,1.0,多数,902.0,多数
6,,僵持,,僵持,,僵持,1.0,多数,1.0,多数,,僵持
7,10.0,多数,199.0,多数,1.0,多数,1.0,多数,,僵持,902.0,多数
8,30.0,多数,107.0,多数,2.0,多数,3.0,多数,2.0,多数,909.0,多数
9,10.0,多数,199.0,多数,1.0,多数,1.0,多数,,僵持,902.0,多数
10,20.0,多数,102.0,多数,3.0,多数,1.0,多数,1.0,多数,906.0,多数
11,20.0,多数,102.0,多数,3.0,多数,1.0,多数,1.0,多数,906.0,多数
12,20.0,多数,102.0,多数,3.0,多数,1.0,多数,,僵持,906.0,多数
13,,僵持,199.0,多数,1.0,多数,1.0,多数,1.0,多数,902.0,多数
14,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
15,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
16,20.0,多数,,僵持,2.0,多数,1.0,多数,2.0,多数,,僵持
17,20.0,多数,102.0,多数,,僵持,,僵持,2.0,多数,906.0,多数
18,20.0,多数,102.0,多数,3.0,多数,1.0,多数,,僵持,906.0,多数
19,20.0,多数,,僵持,3.0,多数,1.0,多数,2.0,多数,,僵持
20,20.0,多数,105.0,多数,,僵持,,僵持,2.0,多数,907.0,多数
21,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
22,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
23,20.0,多数,102.0,多数,3.0,多数,1.0,多数,,僵持,906.0,多数
24,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
25,20.0,多数,102.0,多数,3.0,多数,,僵持,2.0,多数,906.0,多数
26,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
27,20.0,多数,102.0,多数,3.0,多数,,僵持,2.0,多数,906.0,多数
28,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
