paper_id,MethodTag,MethodFamily,Methodology,MethodTransparency,MethodNormativity,coder_notes_rule_code
1,20,102,3,1,1,906
2,20,102,3,1,1,906
3,20,102,3,1,1,906
4,20,102,3,1,1,906
5,40,199,1,1,1,902
6,40,199,1,1,1,902
7,30,107,2,1,2,909
8,30,107,2,1,2,909
9,30,107,2,1,2,909
10,20,102,3,1,1,906
11,20,102,3,1,1,906
12,20,102,3,1,1,906
13,10,199,1,0,1,902
14,10,199,1,0,1,902
15,30,107,2,1,2,909
16,30,107,2,1,2,909
17,30,107,2,1,2,909
18,20,106,3,1,2,904
19,20,106,3,1,2,904
20,20,105,2,1,2,907
21,20,102,3,0,1,906
22,20,102,3,0,1,906
23,20,102,3,0,1,906
24,20,102,3,0,1,906
25,20,102,3,2,2,906
26,20,102,3,2,2,906
27,20,102,3,2,2,906
28,20,102,3,2,2,906
29,20,102,3,2,2,906
30,20,102,3,2,2,906
31,20,102,3,2,2,906
32,20,102,3,2,2,906
33,20,102,3,2,2,906
34,20,102,3,2,2,906
35,20,102,3,2,2,906
36,20,102,3,2,2,906
37,20,102,3,2,2,906
38,20,102,3,2,2,906
39,20,102,3,2,2,906
40,20,102,3,2,2,906
41,20,102,3,2,2,906
42,20,102,3,2,2,906
43,20,102,3,2,2,906
44,20,102,3,2,2,906
45,20,102,3,2,2,906
46,20,102,3,2,2,906
47,20,102,3,2,2,906
48,20,102,3,2,2,906
49,20,102,3,2,2,906
50,20,102,3,2,2,906
51,20,102,3,2,2,906
52,20,102,3,2,2,906
53,20,102,3,2,2,906
54,20,102,3,2,2,906
55,20,102,3,2,2,906
56,20,102,3,2,2,906
57,20,102,3,2,2,906
58,20,102,3,2,2,906
59,20,102,3,2,2,906
60,20,102,3,2,2,906
61,20,102,3,2,2,906
62,10,199,1,0,1,902
63,40,199,1,0,1,902
64,40,199,1,0,1,902
65,40,199,1,0,1,902
66,40,199,1,0,1,902
67,40,199,1,0,1,902
68,30,107,2,0,2,909
69,30,107,2,0,2,909
70,30,107,2,0,2,909
71,30,107,2,0,2,909
72,30,107,2,0,2,909
73,30,107,2,0,2,909
74,30,107,2,0,2,909
75,30,107,2,0,2,909
76,30,107,2,0,2,909
77,30,107,2,0,2,909
78,30,107,2,0,2,909
79,20,103,3,0,2,908
80,20,102,3,1,1,906
