variable,paper_id,conflict_class,priority,agent_A,agent_B,agent_C,agent_D
MethodFamily,1,多派分歧,3,199,102,102,102
MethodFamily,2,多派分歧,3,199,102,102,102
MethodFamily,3,多派分歧,3,199,103,102,102
MethodFamily,4,多派分歧,3,199,102,102,102
MethodFamily,5,多派分歧,3,199,103,199,199
MethodFamily,7,多派分歧,3,199,101,107,199
MethodFamily,8,多派分歧,3,107,105,107,107
MethodFamily,9,多派分歧,3,199,101,107,199
MethodFamily,10,多派分歧,3,199,102,102,102
MethodFamily,11,多派分歧,3,199,101,102,102
MethodFamily,12,多派分歧,3,199,102,102,102
MethodFamily,13,多派分歧,3,199,101,199,105
MethodFamily,14,多派分歧,3,102,102,199,106
MethodFamily,15,多派分歧,3,102,102,107,102
MethodFamily,16,多派分歧,3,102,105,107,199
MethodFamily,17,多派分歧,3,102,102,107,105
MethodFamily,18,多派分歧,3,199,102,106,102
MethodFamily,19,多派分歧,3,199,101,106,105
MethodFamily,20,多派分歧,3,102,101,105,105
MethodFamily,21,多派分歧,3,102,102,102,105
MethodFamily,22,多派分歧,3,102,102,102,105
MethodFamily,26,多派分歧,3,102,101,102,199
MethodFamily,28,多派分歧,3,102,102,102,199
MethodFamily,30,多派分歧,3,102,102,102,105
MethodFamily,31,多派分歧,3,102,102,102,105
MethodFamily,32,多派分歧,3,102,102,102,199
MethodFamily,33,多派分歧,3,101,102,102,102
MethodFamily,34,多派分歧,3,199,102,102,102
MethodFamily,36,多派分歧,3,102,101,102,102
MethodFamily,37,多派分歧,3,102,102,102,199
MethodFamily,38,多派分歧,3,102,102,102,199
MethodFamily,39,多派分歧,3,102,102,102,105
MethodFamily,40,多派分歧,3,102,102,102,107
MethodFamily,41,多派分歧,3,101,101,102,105
MethodFamily,42,多派分歧,3,102,101,102,105
MethodFamily,43,多派分歧,3,102,101,102,102
MethodFamily,45,多派分歧,3,101,102,102,199
MethodFamily,48,多派分歧,3,102,102,102,107
MethodFamily,49,多派分歧,3,102,101,102,102
MethodFamily,50,多派分歧,3,102,102,102,105
MethodFamily,51,多派分歧,3,199,101,102,105
MethodFamily,52,多派分歧,3,199,102,102,105
MethodFamily,53,多派分歧,3,199,101,102,105
MethodFamily,54,多派分歧,3,199,101,102,102
MethodFamily,55,多派分歧,3,199,101,102,105
MethodFamily,56,多派分歧,3,199,101,102,102
MethodFamily,57,多派分歧,3,199,102,102,102
MethodFamily,58,多派分歧,3,199,102,102,107
MethodFamily,59,多派分歧,3,102,102,102,107
MethodFamily,60,多派分歧,3,102,102,102,199
MethodFamily,61,多派分歧,3,199,101,102,105
MethodFamily,62,多派分歧,3,102,102,199,102
MethodFamily,63,多派分歧,3,102,101,199,199
MethodFamily,64,多派分歧,3,199,102,199,105
MethodFamily,65,多派分歧,3,102,102,199,107
MethodFamily,66,多派分歧,3,101,102,199,105
MethodFamily,67,多派分歧,3,101,101,199,102
MethodFamily,68,多派分歧,3,102,102,107,102
MethodFamily,69,多派分歧,3,102,102,107,105
MethodFamily,70,多派分歧,3,102,101,107,105
MethodFamily,71,多派分歧,3,102,101,107,105
MethodFamily,72,多派分歧,3,107,101,107,102
MethodFamily,73,多派分歧,3,107,101,107,105
MethodFamily,74,多派分歧,3,107,101,107,105
MethodFamily,75,多派分歧,3,107,102,107,199
MethodFamily,76,多派分歧,3,107,101,107,105
MethodFamily,77,多派分歧,3,107,102,107,105
MethodFamily,78,多派分歧,3,102,102,107,103
MethodFamily,79,多派分歧,3,103,101,103,105
MethodFamily,80,多派分歧,3,102,102,102,199
MethodTag,1,多派分歧,3,40,20,20,20
MethodTag,2,多派分歧,3,40,20,20,20
MethodTag,3,多派分歧,3,10,20,20,20
MethodTag,4,多派分歧,3,40,20,20,20
MethodTag,5,多派分歧,3,10,20,40,10
MethodTag,7,多派分歧,3,10,20,30,10
MethodTag,8,多派分歧,3,30,20,30,30
MethodTag,9,多派分歧,3,10,20,30,10
MethodTag,10,多派分歧,3,40,20,20,20
MethodTag,11,多派分歧,3,10,20,20,20
MethodTag,12,多派分歧,3,40,20,20,20
MethodTag,14,多派分歧,3,20,20,10,20
MethodTag,15,多派分歧,3,20,20,30,20
MethodTag,16,多派分歧,3,20,20,30,10
MethodTag,17,多派分歧,3,20,20,30,20
MethodTag,18,多派分歧,3,40,20,20,20
MethodTag,19,多派分歧,3,10,20,20,20
MethodTag,26,多派分歧,3,20,20,20,10
MethodTag,28,多派分歧,3,20,20,20,10
MethodTag,32,多派分歧,3,20,20,20,10
MethodTag,34,多派分歧,3,10,20,20,20
MethodTag,37,多派分歧,3,20,20,20,10
MethodTag,38,多派分歧,3,20,20,20,10
MethodTag,40,多派分歧,3,20,20,20,30
MethodTag,45,多派分歧,3,20,20,20,10
MethodTag,48,多派分歧,3,20,20,20,30
MethodTag,51,多派分歧,3,10,20,20,20
MethodTag,52,多派分歧,3,10,20,20,20
MethodTag,53,多派分歧,3,10,20,20,20
MethodTag,54,多派分歧,3,10,20,20,20
MethodTag,55,多派分歧,3,10,20,20,20
MethodTag,56,多派分歧,3,10,20,20,20
MethodTag,57,多派分歧,3,10,20,20,20
MethodTag,58,多派分歧,3,10,20,20,30
MethodTag,59,多派分歧,3,20,20,20,30
MethodTag,60,多派分歧,3,20,20,20,10
MethodTag,61,多派分歧,3,10,20,20,20
MethodTag,62,多派分歧,3,20,20,10,20
MethodTag,63,多派分歧,3,20,20,40,10
MethodTag,64,多派分歧,3,10,20,40,20
MethodTag,65,多派分歧,3,20,20,40,30
MethodTag,66,多派分歧,3,20,20,40,20
MethodTag,67,多派分歧,3,20,20,40,20
MethodTag,68,多派分歧,3,20,20,30,20
MethodTag,69,多派分歧,3,20,20,30,20
MethodTag,70,多派分歧,3,20,20,30,20
MethodTag,71,多派分歧,3,20,20,30,20
MethodTag,75,多派分歧,3,30,20,30,10
MethodTag,78,多派分歧,3,20,20,30,20
MethodTag,80,多派分歧,3,20,20,20,10
MethodTransparency,8,严重分歧,3,3,3,1,3
MethodTransparency,13,严重分歧,3,1,1,0,2
MethodTransparency,14,严重分歧,3,2,1,0,2
MethodTransparency,15,严重分歧,3,3,1,1,1
MethodTransparency,21,严重分歧,3,2,1,0,2
MethodTransparency,22,严重分歧,3,2,1,0,2
MethodTransparency,23,严重分歧,3,2,1,0,1
MethodTransparency,24,严重分歧,3,2,1,0,1
MethodTransparency,26,严重分歧,3,3,1,2,1
MethodTransparency,28,严重分歧,3,3,1,2,1
MethodTransparency,29,严重分歧,3,3,1,2,1
MethodTransparency,32,严重分歧,3,3,1,2,1
MethodTransparency,35,严重分歧,3,3,1,2,1
MethodTransparency,36,严重分歧,3,3,1,2,1
MethodTransparency,37,严重分歧,3,3,1,2,1
MethodTransparency,38,严重分歧,3,3,1,2,1
MethodTransparency,39,严重分歧,3,3,1,2,2
MethodTransparency,40,严重分歧,3,3,1,2,2
MethodTransparency,42,严重分歧,3,3,1,2,2
MethodTransparency,44,严重分歧,3,3,1,2,1
MethodTransparency,45,严重分歧,3,3,1,2,1
MethodTransparency,46,严重分歧,3,3,1,2,1
MethodTransparency,47,严重分歧,3,3,1,2,1
MethodTransparency,62,严重分歧,3,2,1,0,1
MethodTransparency,63,严重分歧,3,2,2,0,1
MethodTransparency,64,严重分歧,3,2,1,0,2
MethodTransparency,65,严重分歧,3,2,1,0,2
MethodTransparency,66,严重分歧,3,2,1,0,2
MethodTransparency,67,严重分歧,3,2,1,0,1
MethodTransparency,68,严重分歧,3,2,1,0,1
MethodTransparency,69,严重分歧,3,2,1,0,2
MethodTransparency,70,严重分歧,3,1,2,0,2
MethodTransparency,71,严重分歧,3,1,2,0,2
MethodTransparency,72,严重分歧,3,2,2,0,1
MethodTransparency,73,严重分歧,3,2,2,0,2
MethodTransparency,74,严重分歧,3,2,1,0,2
MethodTransparency,75,严重分歧,3,2,1,0,1
MethodTransparency,76,严重分歧,3,2,2,0,2
MethodTransparency,77,严重分歧,3,2,1,0,2
MethodTransparency,78,严重分歧,3,2,1,0,1
MethodTransparency,79,严重分歧,3,2,2,0,2
Methodology,1,多派分歧,3,1,3,3,3
Methodology,2,多派分歧,3,1,3,3,3
Methodology,3,多派分歧,3,1,3,3,3
Methodology,4,多派分歧,3,1,3,3,3
Methodology,5,多派分歧,3,1,3,1,1
Methodology,7,多派分歧,3,1,3,2,1
Methodology,9,多派分歧,3,1,3,2,1
Methodology,10,多派分歧,3,1,3,3,3
Methodology,11,多派分歧,3,1,3,3,3
Methodology,12,多派分歧,3,1,3,3,3
Methodology,13,多派分歧,3,1,3,1,2
Methodology,14,多派分歧,3,3,3,1,3
Methodology,15,多派分歧,3,3,3,2,3
Methodology,16,多派分歧,3,3,2,2,1
Methodology,18,多派分歧,3,1,3,3,3
Methodology,19,多派分歧,3,1,3,3,2
Methodology,21,多派分歧,3,3,3,3,2
Methodology,22,多派分歧,3,3,3,3,2
Methodology,26,多派分歧,3,3,3,3,1
Methodology,28,多派分歧,3,3,3,3,1
Methodology,30,多派分歧,3,3,3,3,2
Methodology,31,多派分歧,3,3,3,3,2
Methodology,32,多派分歧,3,3,3,3,1
Methodology,34,多派分歧,3,1,3,3,3
Methodology,37,多派分歧,3,3,3,3,1
Methodology,38,多派分歧,3,3,3,3,1
Methodology,39,多派分歧,3,3,3,3,2
Methodology,40,多派分歧,3,3,3,3,2
Methodology,41,多派分歧,3,3,3,3,2
Methodology,42,多派分歧,3,3,3,3,2
Methodology,45,多派分歧,3,3,3,3,1
Methodology,48,多派分歧,3,3,3,3,2
Methodology,50,多派分歧,3,3,3,3,2
Methodology,51,多派分歧,3,1,3,3,2
Methodology,52,多派分歧,3,1,3,3,2
Methodology,53,多派分歧,3,1,3,3,2
Methodology,54,多派分歧,3,1,3,3,3
Methodology,55,多派分歧,3,1,3,3,2
Methodology,56,多派分歧,3,1,3,3,3
Methodology,57,多派分歧,3,1,3,3,3
Methodology,58,多派分歧,3,1,3,3,2
Methodology,59,多派分歧,3,3,3,3,2
Methodology,60,多派分歧,3,3,3,3,1
Methodology,61,多派分歧,3,1,3,3,2
Methodology,62,多派分歧,3,3,3,1,3
Methodology,64,多派分歧,3,1,3,1,2
Methodology,65,多派分歧,3,3,3,1,2
Methodology,66,多派分歧,3,3,3,1,2
Methodology,67,多派分歧,3,3,3,1,3
Methodology,68,多派分歧,3,3,3,2,3
Methodology,73,多派分歧,3,2,3,2,2
Methodology,74,多派分歧,3,2,3,2,2
Methodology,75,多派分歧,3,2,3,2,1
Methodology,76,多派分歧,3,2,3,2,4
Methodology,77,多派分歧,3,2,3,2,2
Methodology,78,多派分歧,3,3,3,2,3
Methodology,79,多派分歧,3,3,3,3,2
Methodology,80,多派分歧,3,3,3,3,1
coder_notes_rule_code,1,多派分歧,3,902,906,906,906
coder_notes_rule_code,2,多派分歧,3,902,906,906,906
coder_notes_rule_code,3,多派分歧,3,902,908,906,906
coder_notes_rule_code,4,多派分歧,3,902,906,906,906
coder_notes_rule_code,5,多派分歧,3,902,908,902,902
coder_notes_rule_code,7,多派分歧,3,902,905,909,902
coder_notes_rule_code,8,多派分歧,3,909,907,909,909
coder_notes_rule_code,9,多派分歧,3,902,905,909,902
coder_notes_rule_code,10,多派分歧,3,902,906,906,906
coder_notes_rule_code,11,多派分歧,3,902,905,906,906
coder_notes_rule_code,12,多派分歧,3,902,906,906,906
coder_notes_rule_code,13,多派分歧,3,902,905,902,907
coder_notes_rule_code,14,多派分歧,3,906,906,902,904
coder_notes_rule_code,15,多派分歧,3,906,906,909,906
