variable,paper_id,agent_A,agent_B,agent_C,agent_D,conflict_class,priority,proposed_consensus,decision_type(多数/僵持/专家),rationale_rule_ids(如:R1|R3),evidence_anchor_ids(如:E2|E5),comments,decided_by,decided_at
MethodFamily,1,199,102,102,102,多派分歧,3,,,,,,,
MethodFamily,2,199,102,102,102,多派分歧,3,,,,,,,
MethodFamily,3,199,103,102,102,多派分歧,3,,,,,,,
MethodFamily,4,199,102,102,102,多派分歧,3,,,,,,,
MethodFamily,5,199,103,199,199,多派分歧,3,,,,,,,
MethodFamily,7,199,101,107,199,多派分歧,3,,,,,,,
MethodFamily,8,107,105,107,107,多派分歧,3,,,,,,,
MethodFamily,9,199,101,107,199,多派分歧,3,,,,,,,
MethodFamily,10,199,102,102,102,多派分歧,3,,,,,,,
MethodFamily,11,199,101,102,102,多派分歧,3,,,,,,,
MethodFamily,12,199,102,102,102,多派分歧,3,,,,,,,
MethodFamily,13,199,101,199,105,多派分歧,3,,,,,,,
MethodFamily,14,102,102,199,106,多派分歧,3,,,,,,,
MethodFamily,15,102,102,107,102,多派分歧,3,,,,,,,
MethodFamily,16,102,105,107,199,多派分歧,3,,,,,,,
MethodFamily,17,102,102,107,105,多派分歧,3,,,,,,,
MethodFamily,18,199,102,106,102,多派分歧,3,,,,,,,
MethodFamily,19,199,101,106,105,多派分歧,3,,,,,,,
MethodFamily,20,102,101,105,105,多派分歧,3,,,,,,,
MethodFamily,21,102,102,102,105,多派分歧,3,,,,,,,
MethodFamily,22,102,102,102,105,多派分歧,3,,,,,,,
MethodFamily,26,102,101,102,199,多派分歧,3,,,,,,,
MethodFamily,28,102,102,102,199,多派分歧,3,,,,,,,
MethodFamily,30,102,102,102,105,多派分歧,3,,,,,,,
MethodFamily,31,102,102,102,105,多派分歧,3,,,,,,,
MethodFamily,32,102,102,102,199,多派分歧,3,,,,,,,
MethodFamily,33,101,102,102,102,多派分歧,3,,,,,,,
MethodFamily,34,199,102,102,102,多派分歧,3,,,,,,,
MethodFamily,36,102,101,102,102,多派分歧,3,,,,,,,
MethodFamily,37,102,102,102,199,多派分歧,3,,,,,,,
MethodFamily,38,102,102,102,199,多派分歧,3,,,,,,,
MethodFamily,39,102,102,102,105,多派分歧,3,,,,,,,
MethodFamily,40,102,102,102,107,多派分歧,3,,,,,,,
MethodFamily,41,101,101,102,105,多派分歧,3,,,,,,,
MethodFamily,42,102,101,102,105,多派分歧,3,,,,,,,
MethodFamily,43,102,101,102,102,多派分歧,3,,,,,,,
MethodFamily,45,101,102,102,199,多派分歧,3,,,,,,,
MethodFamily,48,102,102,102,107,多派分歧,3,,,,,,,
MethodFamily,49,102,101,102,102,多派分歧,3,,,,,,,
MethodFamily,50,102,102,102,105,多派分歧,3,,,,,,,
MethodFamily,51,199,101,102,105,多派分歧,3,,,,,,,
MethodFamily,52,199,102,102,105,多派分歧,3,,,,,,,
MethodFamily,53,199,101,102,105,多派分歧,3,,,,,,,
MethodFamily,54,199,101,102,102,多派分歧,3,,,,,,,
MethodFamily,55,199,101,102,105,多派分歧,3,,,,,,,
MethodFamily,56,199,101,102,102,多派分歧,3,,,,,,,
MethodFamily,57,199,102,102,102,多派分歧,3,,,,,,,
MethodFamily,58,199,102,102,107,多派分歧,3,,,,,,,
MethodFamily,59,102,102,102,107,多派分歧,3,,,,,,,
MethodFamily,60,102,102,102,199,多派分歧,3,,,,,,,
MethodFamily,61,199,101,102,105,多派分歧,3,,,,,,,
MethodFamily,62,102,102,199,102,多派分歧,3,,,,,,,
MethodFamily,63,102,101,199,199,多派分歧,3,,,,,,,
MethodFamily,64,199,102,199,105,多派分歧,3,,,,,,,
MethodFamily,65,102,102,199,107,多派分歧,3,,,,,,,
MethodFamily,66,101,102,199,105,多派分歧,3,,,,,,,
MethodFamily,67,101,101,199,102,多派分歧,3,,,,,,,
MethodFamily,68,102,102,107,102,多派分歧,3,,,,,,,
MethodFamily,69,102,102,107,105,多派分歧,3,,,,,,,
MethodFamily,70,102,101,107,105,多派分歧,3,,,,,,,
MethodFamily,71,102,101,107,105,多派分歧,3,,,,,,,
MethodFamily,72,107,101,107,102,多派分歧,3,,,,,,,
MethodFamily,73,107,101,107,105,多派分歧,3,,,,,,,
MethodFamily,74,107,101,107,105,多派分歧,3,,,,,,,
MethodFamily,75,107,102,107,199,多派分歧,3,,,,,,,
MethodFamily,76,107,101,107,105,多派分歧,3,,,,,,,
MethodFamily,77,107,102,107,105,多派分歧,3,,,,,,,
MethodFamily,78,102,102,107,103,多派分歧,3,,,,,,,
MethodFamily,79,103,101,103,105,多派分歧,3,,,,,,,
MethodFamily,80,102,102,102,199,多派分歧,3,,,,,,,
MethodTag,1,40,20,20,20,多派分歧,3,,,,,,,
MethodTag,2,40,20,20,20,多派分歧,3,,,,,,,
MethodTag,3,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,4,40,20,20,20,多派分歧,3,,,,,,,
MethodTag,5,10,20,40,10,多派分歧,3,,,,,,,
MethodTag,7,10,20,30,10,多派分歧,3,,,,,,,
MethodTag,8,30,20,30,30,多派分歧,3,,,,,,,
MethodTag,9,10,20,30,10,多派分歧,3,,,,,,,
MethodTag,10,40,20,20,20,多派分歧,3,,,,,,,
MethodTag,11,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,12,40,20,20,20,多派分歧,3,,,,,,,
MethodTag,14,20,20,10,20,多派分歧,3,,,,,,,
MethodTag,15,20,20,30,20,多派分歧,3,,,,,,,
MethodTag,16,20,20,30,10,多派分歧,3,,,,,,,
MethodTag,17,20,20,30,20,多派分歧,3,,,,,,,
MethodTag,18,40,20,20,20,多派分歧,3,,,,,,,
MethodTag,19,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,26,20,20,20,10,多派分歧,3,,,,,,,
MethodTag,28,20,20,20,10,多派分歧,3,,,,,,,
MethodTag,32,20,20,20,10,多派分歧,3,,,,,,,
MethodTag,34,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,37,20,20,20,10,多派分歧,3,,,,,,,
MethodTag,38,20,20,20,10,多派分歧,3,,,,,,,
MethodTag,40,20,20,20,30,多派分歧,3,,,,,,,
MethodTag,45,20,20,20,10,多派分歧,3,,,,,,,
MethodTag,48,20,20,20,30,多派分歧,3,,,,,,,
MethodTag,51,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,52,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,53,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,54,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,55,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,56,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,57,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,58,10,20,20,30,多派分歧,3,,,,,,,
MethodTag,59,20,20,20,30,多派分歧,3,,,,,,,
MethodTag,60,20,20,20,10,多派分歧,3,,,,,,,
MethodTag,61,10,20,20,20,多派分歧,3,,,,,,,
MethodTag,62,20,20,10,20,多派分歧,3,,,,,,,
MethodTag,63,20,20,40,10,多派分歧,3,,,,,,,
MethodTag,64,10,20,40,20,多派分歧,3,,,,,,,
MethodTag,65,20,20,40,30,多派分歧,3,,,,,,,
MethodTag,66,20,20,40,20,多派分歧,3,,,,,,,
MethodTag,67,20,20,40,20,多派分歧,3,,,,,,,
MethodTag,68,20,20,30,20,多派分歧,3,,,,,,,
MethodTag,69,20,20,30,20,多派分歧,3,,,,,,,
MethodTag,70,20,20,30,20,多派分歧,3,,,,,,,
MethodTag,71,20,20,30,20,多派分歧,3,,,,,,,
MethodTag,75,30,20,30,10,多派分歧,3,,,,,,,
MethodTag,78,20,20,30,20,多派分歧,3,,,,,,,
MethodTag,80,20,20,20,10,多派分歧,3,,,,,,,
MethodTransparency,8,3,3,1,3,严重分歧,3,,,,,,,
MethodTransparency,13,1,1,0,2,严重分歧,3,,,,,,,
MethodTransparency,14,2,1,0,2,严重分歧,3,,,,,,,
MethodTransparency,15,3,1,1,1,严重分歧,3,,,,,,,
MethodTransparency,21,2,1,0,2,严重分歧,3,,,,,,,
