paper_id,variable,change_type,before,after,reason,fixed_at
16,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
19,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
51,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
53,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
55,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
61,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
66,MethodFamily,tie_to_stalemate,"{'pc': 199.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
70,MethodFamily,tie_to_stalemate,"{'pc': 102.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
71,MethodFamily,tie_to_stalemate,"{'pc': 102.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
16,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
19,coder_notes_rule_code,tie_to_stalemate,"{'pc': 902.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
51,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
53,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
55,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
61,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
66,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
70,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
71,coder_notes_rule_code,tie_to_stalemate,"{'pc': 906.0, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
6,MethodFamily,tie_to_stalemate,"{'pc': nan, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
44,MethodFamily,tie_to_stalemate,"{'pc': nan, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
46,MethodFamily,tie_to_stalemate,"{'pc': nan, 'dec': '多数'}","{'pc': nan, 'dec': '僵持'}",平票不应标‘多数’，改为‘僵持’并清空共识值,2025-10-07T08:25:36Z
