paper_id,variable,proposed_consensus_proc,decision_type(多数/僵持/专家)_proc,rationale_rule_ids(如:R1|R3)_proc,comments_proc,proposed_consensus_res,decision_type(多数/僵持/专家)_res,rationale_rule_ids(如:R1|R3)_res,comments_res
1,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
2,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
3,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
4,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
5,MethodFamily,199.0,多数,R_MF_01,,199.0,多数,R_MF_01,
7,MethodFamily,199.0,多数,R_MF_01,,199.0,多数,R_MF_01,
8,MethodFamily,107.0,多数,R_MF_01,,107.0,多数,R_MF_01,
9,MethodFamily,199.0,多数,R_MF_01,,199.0,多数,R_MF_01,
10,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
11,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
12,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
13,MethodFamily,199.0,多数,R_MF_01,,199.0,多数,R_MF_01,
14,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
15,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
17,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
18,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
20,MethodFamily,105.0,多数,R_MF_01,,105.0,多数,R_MF_01,
21,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
22,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
26,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
28,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
30,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
31,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
32,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
33,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
34,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
36,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
37,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
38,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
39,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
40,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
41,MethodFamily,101.0,多数,R_MF_01,,101.0,多数,R_MF_01,
42,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
43,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
45,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
48,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
49,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
50,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
52,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
54,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
56,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
57,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
58,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
59,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
60,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
62,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
63,MethodFamily,199.0,多数,R_MF_01,,199.0,多数,R_MF_01,
64,MethodFamily,199.0,多数,R_MF_01,,199.0,多数,R_MF_01,
65,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
67,MethodFamily,101.0,多数,R_MF_01,,101.0,多数,R_MF_01,
68,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
69,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
72,MethodFamily,107.0,多数,R_MF_01,,107.0,多数,R_MF_01,
73,MethodFamily,107.0,多数,R_MF_01,,107.0,多数,R_MF_01,
74,MethodFamily,107.0,多数,R_MF_01,,107.0,多数,R_MF_01,
75,MethodFamily,107.0,多数,R_MF_01,,107.0,多数,R_MF_01,
76,MethodFamily,107.0,多数,R_MF_01,,107.0,多数,R_MF_01,
77,MethodFamily,107.0,多数,R_MF_01,,107.0,多数,R_MF_01,
78,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
79,MethodFamily,103.0,多数,R_MF_01,,103.0,多数,R_MF_01,
80,MethodFamily,102.0,多数,R_MF_01,,102.0,多数,R_MF_01,
1,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
2,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
3,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
4,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
5,coder_notes_rule_code,902.0,多数,,,902.0,多数,,
7,coder_notes_rule_code,902.0,多数,,,902.0,多数,,
8,coder_notes_rule_code,909.0,多数,,,909.0,多数,,
9,coder_notes_rule_code,902.0,多数,,,902.0,多数,,
10,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
11,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
12,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
13,coder_notes_rule_code,902.0,多数,,,902.0,多数,,
14,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
15,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
17,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
18,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
20,coder_notes_rule_code,907.0,多数,,,907.0,多数,,
21,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
22,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
26,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
28,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
30,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
31,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
32,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
33,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
34,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
36,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
37,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
38,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
39,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
40,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
41,coder_notes_rule_code,905.0,多数,,,905.0,多数,,
42,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
43,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
45,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
48,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
49,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
50,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
52,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
54,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
56,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
57,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
58,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
59,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
60,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
62,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
63,coder_notes_rule_code,902.0,多数,,,902.0,多数,,
64,coder_notes_rule_code,902.0,多数,,,902.0,多数,,
65,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
67,coder_notes_rule_code,905.0,多数,,,905.0,多数,,
68,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
69,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
72,coder_notes_rule_code,909.0,多数,,,909.0,多数,,
73,coder_notes_rule_code,909.0,多数,,,909.0,多数,,
74,coder_notes_rule_code,909.0,多数,,,909.0,多数,,
75,coder_notes_rule_code,909.0,多数,,,909.0,多数,,
76,coder_notes_rule_code,909.0,多数,,,909.0,多数,,
77,coder_notes_rule_code,909.0,多数,,,909.0,多数,,
78,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
79,coder_notes_rule_code,908.0,多数,,,908.0,多数,,
80,coder_notes_rule_code,906.0,多数,,,906.0,多数,,
6,MethodFamily,,多数,R_MF_01,R_MF_01：按程序锚点识别具体方法门类。,,多数,R_MF_01,R_MF_01：按程序锚点识别具体方法门类。
44,MethodFamily,,多数,R_MF_01,R_MF_01：按程序锚点识别具体方法门类。,,多数,R_MF_01,R_MF_01：按程序锚点识别具体方法门类。
46,MethodFamily,,多数,R_MF_01,R_MF_01：按程序锚点识别具体方法门类。,,多数,R_MF_01,R_MF_01：按程序锚点识别具体方法门类。
6,MethodTag,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。
13,MethodTag,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。
72,MethodTag,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。
73,MethodTag,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。
74,MethodTag,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。
76,MethodTag,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。
77,MethodTag,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。,,,R_TAG_01,R_TAG_01：按题旨与方法文本的功能性标签归类。
6,Methodology,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。
17,Methodology,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。
20,Methodology,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。
63,Methodology,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。
