paper_id	MethodTag_codes	MethodFamily_codes	Methodology_codes	MethodTransparency_codes	MethodNormativity_codes	coder_notes_rule_code	agent
1	40	199	1	1	1	902	A
2	40	199	1	1	1	902	A
3	10	199	1	1	1	902	A
4	40	199	1	1	1	902	A
5	10	199	1	1	1	902	A
6	40	199	1	1	1	902	A
7	10	199	1	1	1	902	A
8	30	107	2	3	2	909	A
9	10	199	1	1	1	902	A
10	40	199	1	1	1	902	A
11	10	199	1	1	1	902	A
12	40	199	1	1	1	902	A
13	10	199	1	1	1	902	A
14	20	102	3	2	2	906	A
15	20	102	3	3	2	906	A
16	20	102	3	1	2	906	A
17	20	102	3	2	2	906	A
18	40	199	1	2	1	902	A
19	10	199	1	1	1	902	A
20	20	102	3	2	2	906	A
21	20	102	3	2	2	906	A
22	20	102	3	2	2	906	A
23	20	102	3	2	2	906	A
24	20	102	3	2	2	906	A
25	20	102	3	2	2	906	A
26	20	102	3	3	2	906	A
27	20	102	3	2	2	906	A
28	20	102	3	3	2	906	A
29	20	102	3	3	2	906	A
30	20	102	3	2	2	906	A
31	20	102	3	2	2	906	A
32	20	102	3	3	2	906	A
33	20	101	3	2	2	905	A
34	10	199	1	1	1	902	A
35	20	102	3	3	2	906	A
36	20	102	3	3	2	906	A
37	20	102	3	3	2	906	A
38	20	102	3	3	2	906	A
39	20	102	3	3	2	906	A
40	20	102	3	3	2	906	A
41	20	101	3	2	2	905	A
42	20	102	3	3	2	906	A
43	20	102	3	2	2	906	A
44	20	101	3	3	2	905	A
45	20	101	3	3	2	905	A
46	20	101	3	3	2	905	A
47	20	102	3	3	2	906	A
48	20	102	3	2	2	906	A
49	20	102	3	2	2	906	A
50	20	102	3	2	2	906	A
51	10	199	1	1	1	902	A
52	10	199	1	2	1	902	A
53	10	199	1	2	1	902	A
54	10	199	1	2	1	902	A
55	10	199	1	2	1	902	A
56	10	199	1	2	1	902	A
57	10	199	1	2	1	902	A
58	10	199	1	2	1	902	A
59	20	102	3	2	2	906	A
60	20	102	3	2	2	906	A
61	10	199	1	2	1	902	A
62	20	102	3	2	2	906	A
63	20	102	3	2	2	906	A
64	10	199	1	2	1	902	A
65	20	102	3	2	2	906	A
66	20	101	3	2	2	905	A
67	20	101	3	2	2	905	A
68	20	102	3	2	2	906	A
69	20	102	3	2	2	906	A
70	20	102	3	1	2	906	A
71	20	102	3	1	2	906	A
72	30	107	2	2	2	909	A
73	30	107	2	2	2	909	A
74	30	107	2	2	2	909	A
75	30	107	2	2	2	909	A
76	30	107	2	2	2	909	A
77	30	107	2	2	2	909	A
78	20	102	3	2	2	906	A
79	20	103	3	2	2	908	A
80	20	102	3	1	2	906	A
1	20	102	3	1	2	906	B
2	20	102	3	1	2	906	B
3	20	103	3	1	2	908	B
4	20	102	3	1	2	906	B
5	20	103	3	1	2	908	B
6	20	102	3	1	2	906	B
7	20	101	3	1	2	905	B
8	20	105	2	3	2	907	B
9	20	101	3	1	2	905	B
10	20	102	3	1	2	906	B
11	20	101	3	1	2	905	B
12	20	102	3	1	2	906	B
13	20	101	3	1	2	905	B
14	20	102	3	1	2	906	B
15	20	102	3	1	2	906	B
16	20	105	2	2	2	907	B
17	20	102	3	1	2	906	B
18	20	102	3	1	2	906	B
19	20	101	3	1	2	905	B
20	20	101	3	1	2	905	B
21	20	102	3	1	2	906	B
22	20	102	3	1	2	906	B
