paper_id	MethodTag_codes	MethodFamily_codes	Methodology_codes	MethodTransparency_codes	MethodNormativity_codes	coder_notes_rule_code
1	40	199	1	1	1	902
2	40	199	1	1	1	902
3	10	199	1	1	1	902
4	40	199	1	1	1	902
5	10	199	1	1	1	902
6	40	199	1	1	1	902
7	10	199	1	1	1	902
8	30	107	2	3	2	909
9	10	199	1	1	1	902
10	40	199	1	1	1	902
11	10	199	1	1	1	902
12	40	199	1	1	1	902
13	10	199	1	1	1	902
14	20	102	3	2	2	906
15	20	102	3	3	2	906
16	20	102	3	1	2	906
17	20	102	3	2	2	906
18	40	199	1	2	1	902
19	10	199	1	1	1	902
20	20	102	3	2	2	906
21	20	102	3	2	2	906
22	20	102	3	2	2	906
23	20	102	3	2	2	906
24	20	102	3	2	2	906
25	20	102	3	2	2	906
26	20	102	3	3	2	906
27	20	102	3	2	2	906
28	20	102	3	3	2	906
29	20	102	3	3	2	906
30	20	102	3	2	2	906
31	20	102	3	2	2	906
32	20	102	3	3	2	906
33	20	101	3	2	2	905
34	10	199	1	1	1	902
35	20	102	3	3	2	906
36	20	102	3	3	2	906
37	20	102	3	3	2	906
38	20	102	3	3	2	906
39	20	102	3	3	2	906
40	20	102	3	3	2	906
41	20	101	3	2	2	905
42	20	102	3	3	2	906
43	20	102	3	2	2	906
44	20	101	3	3	2	905
45	20	101	3	3	2	905
46	20	101	3	3	2	905
47	20	102	3	3	2	906
48	20	102	3	2	2	906
49	20	102	3	2	2	906
50	20	102	3	2	2	906
51	10	199	1	1	1	902
52	10	199	1	2	1	902
53	10	199	1	2	1	902
54	10	199	1	2	1	902
55	10	199	1	2	1	902
56	10	199	1	2	1	902
57	10	199	1	2	1	902
58	10	199	1	2	1	902
59	20	102	3	2	2	906
60	20	102	3	2	2	906
61	10	199	1	2	1	902
62	20	102	3	2	2	906
63	20	102	3	2	2	906
64	10	199	1	2	1	902
65	20	102	3	2	2	906
66	20	101	3	2	2	905
67	20	101	3	2	2	905
68	20	102	3	2	2	906
69	20	102	3	2	2	906
70	20	102	3	1	2	906
71	20	102	3	1	2	906
72	30	107	2	2	2	909
73	30	107	2	2	2	909
74	30	107	2	2	2	909
75	30	107	2	2	2	909
76	30	107	2	2	2	909
77	30	107	2	2	2	909
78	20	102	3	2	2	906
79	20	103	3	2	2	908
80	20	102	3	1	2	906
