paper_id	MethodTag_codes	MethodFamily_codes	Methodology_codes	MethodTransparency_codes	MethodNormativity_codes	coder_notes_rule_code	agent
1	20	102	3	1	1	906	C
2	20	102	3	1	1	906	C
3	20	102	3	1	1	906	C
4	20	102	3	1	1	906	C
5	40	199	1	1	1	902	C
6	40	199	1	1	1	902	C
7	30	107	2	1	2	909	C
8	30	107	2	1	2	909	C
9	30	107	2	1	2	909	C
10	20	102	3	1	1	906	C
11	20	102	3	1	1	906	C
12	20	102	3	1	1	906	C
13	10	199	1		1	902	C
14	10	199	1		1	902	C
15	30	107	2	1	2	909	C
16	30	107	2	1	2	909	C
17	30	107	2	1	2	909	C
18	20	106	3	1	2	904	C
19	20	106	3	1	2	904	C
20	20	105	2	1	2	907	C
21	20	102	3		1	906	C
22	20	102	3		1	906	C
23	20	102	3		1	906	C
24	20	102	3		1	906	C
25	20	102	3	2	2	906	C
26	20	102	3	2	2	906	C
27	20	102	3	2	2	906	C
28	20	102	3	2	2	906	C
29	20	102	3	2	2	906	C
30	20	102	3	2	2	906	C
31	20	102	3	2	2	906	C
32	20	102	3	2	2	906	C
33	20	102	3	2	2	906	C
34	20	102	3	2	2	906	C
35	20	102	3	2	2	906	C
36	20	102	3	2	2	906	C
37	20	102	3	2	2	906	C
38	20	102	3	2	2	906	C
39	20	102	3	2	2	906	C
40	20	102	3	2	2	906	C
41	20	102	3	2	2	906	C
42	20	102	3	2	2	906	C
43	20	102	3	2	2	906	C
44	20	102	3	2	2	906	C
45	20	102	3	2	2	906	C
46	20	102	3	2	2	906	C
47	20	102	3	2	2	906	C
48	20	102	3	2	2	906	C
49	20	102	3	2	2	906	C
50	20	102	3	2	2	906	C
51	20	102	3	2	2	906	C
52	20	102	3	2	2	906	C
53	20	102	3	2	2	906	C
54	20	102	3	2	2	906	C
55	20	102	3	2	2	906	C
56	20	102	3	2	2	906	C
57	20	102	3	2	2	906	C
58	20	102	3	2	2	906	C
59	20	102	3	2	2	906	C
60	20	102	3	2	2	906	C
61	20	102	3	2	2	906	C
62	10	199	1		1	902	C
63	40	199	1		1	902	C
64	40	199	1		1	902	C
65	40	199	1		1	902	C
66	40	199	1		1	902	C
67	40	199	1		1	902	C
68	30	107	2		2	909	C
69	30	107	2		2	909	C
70	30	107	2		2	909	C
71	30	107	2		2	909	C
72	30	107	2		2	909	C
73	30	107	2		2	909	C
74	30	107	2		2	909	C
75	30	107	2		2	909	C
76	30	107	2		2	909	C
77	30	107	2		2	909	C
78	30	107	2		2	909	C
79	20	103	3		2	908	C
80	20	102	3	1	1	906	C
