paper_id	MethodTag_codes	MethodFamily_codes	Methodology_codes	MethodTransparency_codes	MethodNormativity_codes	coder_notes_rule_code
1	20	102	3	1	2	906
2	20	102	3	1	1	906
3	20	102	3	1	1	906
4	20	102	3	1	1	906
5	10	199	1	1	1	902
6	20	102	3	1	1	906
7	10	199	1	1	1	902
8	30	107	2	3	1	909
9	10	199	1	1	1	902
10	20	102	3	1	1	906
11	20	102	3	1	1	906
12	20	102	3	1	2	906
13	20	105	2	2	1	907
14	20	106	3	2	2	904
15	20	102	3	1	2	906
16	10	199	1	1	1	902
17	20	105	2	2	2	907
18	20	102	3	1	1	906
19	20	105	2	2	2	907
20	20	105	2	2	2	907
21	20	105	2	2	2	907
22	20	105	2	2	2	907
23	20	102	3	1	1	906
24	20	102	3	1	2	906
25	20	102	3	1	2	906
26	10	199	1	1	1	902
27	20	102	3	1	2	906
28	10	199	1	1	1	902
29	20	102	3	1	1	906
30	20	105	2	2	2	907
31	20	105	2	2	2	907
32	10	199	1	1	1	902
33	20	102	3	1	1	906
34	20	102	3	1	1	906
35	20	102	3	1	1	906
36	20	102	3	1	1	906
37	10	199	1	1	1	902
38	10	199	1	1	1	902
39	20	105	2	2	2	907
40	30	107	2	2	2	909
41	20	105	2	2	2	907
42	20	105	2	2	2	907
43	20	102	3	1	1	906
44	20	102	3	1	2	906
45	10	199	1	1	1	902
46	20	102	3	1	2	906
47	20	102	3	1	2	906
48	30	107	2	2	2	909
49	20	102	3	1	1	906
50	20	105	2	2	2	907
51	20	105	2	2	2	907
52	20	105	2	2	2	907
53	20	105	2	2	2	907
54	20	102	3	1	1	906
55	20	105	2	2	2	907
56	20	102	3	1	2	906
57	20	102	3	1	2	906
58	30	107	2	2	2	909
59	30	107	2	2	2	909
60	10	199	1	1	1	902
61	20	105	2	2	2	907
62	20	102	3	1	2	906
63	10	199	1	1	1	902
64	20	105	2	2	2	907
65	30	107	2	2	2	909
66	20	105	2	2	2	907
67	20	102	3	1	2	906
68	20	102	3	1	2	906
69	20	105	2	2	2	907
70	20	105	2	2	2	907
71	20	105	2	2	2	907
72	20	102	3	1	2	906
73	20	105	2	2	2	907
74	20	105	2	2	2	907
75	10	199	1	1	1	902
76	20	105	4	2	2	903
77	20	105	2	2	2	907
78	20	103	3	1	1	908
79	20	105	2	2	2	907
80	10	199	1	1	1	902
