paper_id	MethodTag_codes_agents	MethodTag_codes_unique	MethodTag_codes_codes	MethodFamily_codes_agents	MethodFamily_codes_unique	MethodFamily_codes_codes	Methodology_codes_agents	Methodology_codes_unique	Methodology_codes_codes	MethodTransparency_codes_agents	MethodTransparency_codes_unique	MethodTransparency_codes_codes	MethodNormativity_codes_agents	MethodNormativity_codes_unique	MethodNormativity_codes_codes	rule_all	priority_score	vars_conflicted
13	4	2	10|20	4	3	101|105|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|905|907	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
14	4	2	10|20	4	3	102|106|199	4	2	1|3	3	2	1|2	4	2	1|2	902|904|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
16	4	3	10|20|30	4	4	102|105|107|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|906|907|909	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
18	4	2	20|40	4	3	102|106|199	4	2	1|3	4	2	1|2	4	2	1|2	902|904|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
19	4	2	10|20	4	4	101|105|106|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|904|905|907	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
26	4	2	10|20	4	3	101|102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|905|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
28	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
32	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
34	4	2	10|20	4	2	102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
37	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
38	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
