paper_id	MethodTag_codes_agents	MethodTag_codes_unique	MethodTag_codes_codes	MethodFamily_codes_agents	MethodFamily_codes_unique	MethodFamily_codes_codes	Methodology_codes_agents	Methodology_codes_unique	Methodology_codes_codes	MethodTransparency_codes_agents	MethodTransparency_codes_unique	MethodTransparency_codes_codes	MethodNormativity_codes_agents	MethodNormativity_codes_unique	MethodNormativity_codes_codes	rule_all
1	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
2	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
3	4	2	10|20	4	3	102|103|199	4	2	1|3	4	1	1	4	2	1|2	902|906|908
4	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
5	4	3	10|20|40	4	2	103|199	4	2	1|3	4	1	1	4	2	1|2	902|908
6	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
7	4	3	10|20|30	4	3	101|107|199	4	3	1|2|3	4	1	1	4	2	1|2	902|905|909
8	4	2	20|30	4	2	105|107	4	1	2	4	2	1|3	4	2	1|2	907|909
9	4	3	10|20|30	4	3	101|107|199	4	3	1|2|3	4	1	1	4	2	1|2	902|905|909
10	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
11	4	2	10|20	4	3	101|102|199	4	2	1|3	4	1	1	4	2	1|2	902|905|906
12	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906
13	4	2	10|20	4	3	101|105|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|905|907
14	4	2	10|20	4	3	102|106|199	4	2	1|3	3	2	1|2	4	2	1|2	902|904|906
15	4	2	20|30	4	2	102|107	4	2	2|3	4	2	1|3	4	1	2	906|909
16	4	3	10|20|30	4	4	102|105|107|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|906|907|909
17	4	2	20|30	4	3	102|105|107	4	2	2|3	4	2	1|2	4	1	2	906|907|909
18	4	2	20|40	4	3	102|106|199	4	2	1|3	4	2	1|2	4	2	1|2	902|904|906
19	4	2	10|20	4	4	101|105|106|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|904|905|907
20	4	1	20	4	3	101|102|105	4	2	2|3	4	2	1|2	4	1	2	905|906|907
21	4	1	20	4	2	102|105	4	2	2|3	3	2	1|2	4	2	1|2	906|907
22	4	1	20	4	2	102|105	4	2	2|3	3	2	1|2	4	2	1|2	906|907
23	4	1	20	4	1	102	4	1	3	3	2	1|2	4	2	1|2	906
24	4	1	20	4	1	102	4	1	3	3	2	1|2	4	2	1|2	906
25	4	1	20	4	1	102	4	1	3	4	2	1|2	4	1	2	906
26	4	2	10|20	4	3	101|102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|905|906
27	4	1	20	4	1	102	4	1	3	4	2	1|2	4	1	2	906
28	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906
29	4	1	20	4	1	102	4	1	3	4	3	1|2|3	4	2	1|2	906
30	4	1	20	4	2	102|105	4	2	2|3	4	2	1|2	4	1	2	906|907
31	4	1	20	4	2	102|105	4	2	2|3	4	2	1|2	4	1	2	906|907
32	4	2	10|20	4	2	102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|906
