paper_id	variable	weight	unique_count	codes_set	A_code	B_code	C_code	D_code	rules_all	evidence_stub	proposed_rule_id	decision	minority_opinion	notes
16	MethodFamily_codes	1.0	4	102|105|107|199	102	105	107	199	902|906|907|909					
19	MethodFamily_codes	1.0	4	101|105|106|199	199	101	106	105	902|904|905|907					
51	MethodFamily_codes	1.0	4	101|102|105|199	199	101	102	105	902|905|906|907					
53	MethodFamily_codes	1.0	4	101|102|105|199	199	101	102	105	902|905|906|907					
55	MethodFamily_codes	1.0	4	101|102|105|199	199	101	102	105	902|905|906|907					
13	MethodFamily_codes	1.0	3	101|105|199	199	101	199	105	902|905|907					
14	MethodFamily_codes	1.0	3	102|106|199	102	102	199	106	902|904|906					
18	MethodFamily_codes	1.0	3	102|106|199	199	102	106	102	902|904|906					
26	MethodFamily_codes	1.0	3	101|102|199	102	101	102	199	902|905|906					
45	MethodFamily_codes	1.0	3	101|102|199	101	102	102	199	902|905|906					
52	MethodFamily_codes	1.0	3	102|105|199	199	102	102	105	902|906|907					
54	MethodFamily_codes	1.0	3	101|102|199	199	101	102	102	902|905|906					
56	MethodFamily_codes	1.0	3	101|102|199	199	101	102	102	902|905|906					
58	MethodFamily_codes	1.0	3	102|107|199	199	102	102	107	902|906|909					
63	MethodFamily_codes	1.0	3	101|102|199	102	101	199	199	902|905|906					
64	MethodFamily_codes	1.0	3	102|105|199	199	102	199	105	902|906|907					
65	MethodFamily_codes	1.0	3	102|107|199	102	102	199	107	902|906|909					
28	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906					
32	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906					
34	MethodFamily_codes	1.0	2	102|199	199	102	102	102	902|906					
37	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906					
38	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906					
57	MethodFamily_codes	1.0	2	102|199	199	102	102	102	902|906					
60	MethodFamily_codes	1.0	2	102|199	102	102	102	199	902|906					
62	MethodFamily_codes	1.0	2	102|199	102	102	199	102	902|906					
26	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|905|906					
28	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|906					
32	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|906					
37	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|906					
38	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|906					
45	MethodTransparency_codes	0.9	3	1|2|3	3	1	2	1	902|905|906					
13	MethodTransparency_codes	0.9	2	1|2	1	1		2	902|905|907					
14	MethodTransparency_codes	0.9	2	1|2	2	1		2	902|904|906					
16	MethodTransparency_codes	0.9	2	1|2	1	2	1	1	902|906|907|909					
18	MethodTransparency_codes	0.9	2	1|2	2	1	1	1	902|904|906					
19	MethodTransparency_codes	0.9	2	1|2	1	1	1	2	902|904|905|907					
34	MethodTransparency_codes	0.9	2	1|2	1	1	2	1	902|906					
51	MethodTransparency_codes	0.9	2	1|2	1	2	2	2	902|905|906|907					
52	MethodTransparency_codes	0.9	2	1|2	2	1	2	2	902|906|907					
53	MethodTransparency_codes	0.9	2	1|2	2	1	2	2	902|905|906|907					
54	MethodTransparency_codes	0.9	2	1|2	2	2	2	1	902|905|906					
55	MethodTransparency_codes	0.9	2	1|2	2	1	2	2	902|905|906|907					
56	MethodTransparency_codes	0.9	2	1|2	2	1	2	1	902|905|906					
57	MethodTransparency_codes	0.9	2	1|2	2	1	2	1	902|906					
58	MethodTransparency_codes	0.9	2	1|2	2	1	2	2	902|906|909					
60	MethodTransparency_codes	0.9	2	1|2	2	1	2	1	902|906					
62	MethodTransparency_codes	0.9	2	1|2	2	1		1	902|906					
63	MethodTransparency_codes	0.9	2	1|2	2	2		1	902|905|906					
64	MethodTransparency_codes	0.9	2	1|2	2	1		2	902|906|907					
65	MethodTransparency_codes	0.9	2	1|2	2	1		2	902|906|909					
13	Methodology_codes	0.8	3	1|2|3	1	3	1	2	902|905|907					
16	Methodology_codes	0.8	3	1|2|3	3	2	2	1	902|906|907|909					
19	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|904|905|907					
51	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|905|906|907					
52	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|906|907					
53	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|905|906|907					
55	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|905|906|907					
58	Methodology_codes	0.8	3	1|2|3	1	3	3	2	902|906|909					
64	Methodology_codes	0.8	3	1|2|3	1	3	1	2	902|906|907					
65	Methodology_codes	0.8	3	1|2|3	3	3	1	2	902|906|909					
14	Methodology_codes	0.8	2	1|3	3	3	1	3	902|904|906					
18	Methodology_codes	0.8	2	1|3	1	3	3	3	902|904|906					
26	Methodology_codes	0.8	2	1|3	3	3	3	1	902|905|906					
28	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906					
32	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906					
34	Methodology_codes	0.8	2	1|3	1	3	3	3	902|906					
37	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906					
38	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906					
45	Methodology_codes	0.8	2	1|3	3	3	3	1	902|905|906					
54	Methodology_codes	0.8	2	1|3	1	3	3	3	902|905|906					
56	Methodology_codes	0.8	2	1|3	1	3	3	3	902|905|906					
57	Methodology_codes	0.8	2	1|3	1	3	3	3	902|906					
60	Methodology_codes	0.8	2	1|3	3	3	3	1	902|906					
62	Methodology_codes	0.8	2	1|3	3	3	1	3	902|906					
63	Methodology_codes	0.8	2	1|3	3	3	1	1	902|905|906					
16	MethodTag_codes	0.7	3	10|20|30	20	20	30	10	902|906|907|909					
58	MethodTag_codes	0.7	3	10|20|30	10	20	20	30	902|906|909					
63	MethodTag_codes	0.7	3	10|20|40	20	20	40	10	902|905|906					
64	MethodTag_codes	0.7	3	10|20|40	10	20	40	20	902|906|907					
65	MethodTag_codes	0.7	3	20|30|40	20	20	40	30	902|906|909					
13	MethodTag_codes	0.7	2	10|20	10	20	10	20	902|905|907					
14	MethodTag_codes	0.7	2	10|20	20	20	10	20	902|904|906					
18	MethodTag_codes	0.7	2	20|40	40	20	20	20	902|904|906					
19	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|904|905|907					
26	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|905|906					
28	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906					
32	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906					
34	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|906					
37	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906					
38	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906					
45	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|905|906					
51	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906|907					
52	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|906|907					
53	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906|907					
54	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906					
55	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906|907					
56	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|905|906					
57	MethodTag_codes	0.7	2	10|20	10	20	20	20	902|906					
60	MethodTag_codes	0.7	2	10|20	20	20	20	10	902|906					
62	MethodTag_codes	0.7	2	10|20	20	20	10	20	902|906					
13	MethodNormativity_codes	0.6	2	1|2	1	2	1	1	902|905|907					
14	MethodNormativity_codes	0.6	2	1|2	2	2	1	2	902|904|906					
16	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906|907|909					
18	MethodNormativity_codes	0.6	2	1|2	1	2	2	1	902|904|906					
19	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|904|905|907					
26	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|905|906					
28	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906					
32	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906					
34	MethodNormativity_codes	0.6	2	1|2	1	2	2	1	902|906					
37	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906					
38	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906					
45	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|905|906					
51	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|905|906|907					
52	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|906|907					
53	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|905|906|907					
54	MethodNormativity_codes	0.6	2	1|2	1	2	2	1	902|905|906					
55	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|905|906|907					
56	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|905|906					
57	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|906					
58	MethodNormativity_codes	0.6	2	1|2	1	2	2	2	902|906|909					
60	MethodNormativity_codes	0.6	2	1|2	2	2	2	1	902|906					
62	MethodNormativity_codes	0.6	2	1|2	2	2	1	2	902|906					
63	MethodNormativity_codes	0.6	2	1|2	2	2	1	1	902|905|906					
64	MethodNormativity_codes	0.6	2	1|2	1	2	1	2	902|906|907					
65	MethodNormativity_codes	0.6	2	1|2	2	2	1	2	902|906|909					
