
paper_id	MethodTag_codes	MethodFamily_codes	Methodology_codes	MethodTransparency_codes	MethodNormativity_codes	coder_notes_rule_code
1	20.0	102.0	3.0	1.0		906
2	20.0	102.0	3.0	1.0	1.0	906
3	20.0	102.0	3.0	1.0	1.0	906
4	20.0	102.0	3.0	1.0	1.0	906
5	10.0	199.0	1.0	1.0	1.0	902
6				1.0	1.0	902
7	10.0	199.0	1.0	1.0		902
8	30.0	107.0	2.0	3.0	2.0	909
9	10.0	199.0	1.0	1.0		902
10	20.0	102.0	3.0	1.0	1.0	906
11	20.0	102.0	3.0	1.0	1.0	906
12	20.0	102.0	3.0	1.0		906
13		199.0	1.0	1.0	1.0	902
14	20.0	102.0	3.0	2.0	2.0	906
15	20.0	102.0	3.0	1.0	2.0	906
16	20.0		2.0	1.0	2.0	906
17	20.0	102.0			2.0	906
18	20.0	102.0	3.0	1.0		906
19	20.0		3.0	1.0	2.0	902
20	20.0	105.0			2.0	907
21	20.0	102.0	3.0	2.0	2.0	906
22	20.0	102.0	3.0	2.0	2.0	906
23	20.0	102.0	3.0	1.0		906
24	20.0	102.0	3.0	1.0	2.0	906
25	20.0	102.0	3.0		2.0	906
26	20.0	102.0	3.0	1.0	2.0	906
27	20.0	102.0	3.0		2.0	906
28	20.0	102.0	3.0	1.0	2.0	906
29	20.0	102.0	3.0	1.0	2.0	906
30	20.0	102.0	3.0	2.0	2.0	906
31	20.0	102.0	3.0	2.0	2.0	906
32	20.0	102.0	3.0	1.0	2.0	906
33	20.0	102.0	3.0		2.0	906
34	20.0	102.0	3.0	1.0		906
35	20.0	102.0	3.0	1.0	2.0	906
36	20.0	102.0	3.0	1.0	2.0	906
37	20.0	102.0	3.0	1.0	2.0	906
38	20.0	102.0	3.0	1.0	2.0	906
39	20.0	102.0	3.0	2.0	2.0	906
40	20.0	102.0	3.0	2.0	2.0	906
41	20.0	101.0	3.0	2.0	2.0	905
42	20.0	102.0	3.0	2.0	2.0	906
43	20.0	102.0	3.0		2.0	906
44	20.0		3.0	1.0	2.0	905
45	20.0	102.0	3.0	1.0	2.0	906
46	20.0		3.0	1.0	2.0	905
47	20.0	102.0	3.0	1.0	2.0	906
48	20.0	102.0	3.0	2.0	2.0	906
49	20.0	102.0	3.0	2.0	2.0	906
50	20.0	102.0	3.0	2.0	2.0	906
51	20.0		3.0	2.0	2.0	902
52	20.0	102.0	3.0	2.0	2.0	906
53	20.0		3.0	2.0	2.0	902
54	20.0	102.0	3.0	2.0		906
55	20.0		3.0	2.0	2.0	902
56	20.0	102.0	3.0		2.0	906
57	20.0	102.0	3.0		2.0	906
58	20.0	102.0	3.0	2.0	2.0	906
59	20.0	102.0	3.0	2.0	2.0	906
60	20.0	102.0	3.0		2.0	906
61	20.0		3.0	2.0	2.0	902
62	20.0	102.0	3.0	1.0	2.0	906
63	20.0	199.0		2.0		902
64	20.0	199.0	1.0	2.0		902
65	20.0	102.0	3.0	2.0	2.0	906
66	20.0		3.0	2.0	2.0	905
67	20.0	101.0	3.0	1.0	2.0	905
68	20.0	102.0	3.0	1.0	2.0	906
69	20.0	102.0		2.0	2.0	906
70	20.0			2.0	2.0	906
71	20.0			2.0	2.0	906
72		107.0		2.0	2.0	909
73		107.0	2.0	2.0	2.0	909
74		107.0	2.0	2.0	2.0	909
75	30.0	107.0	2.0	1.0	2.0	909
76		107.0	2.0	2.0	2.0	909
77		107.0	2.0	2.0	2.0	909
78	20.0	102.0	3.0	1.0	2.0	906
79	20.0	103.0	3.0	2.0	2.0	908
80	20.0	102.0	3.0	1.0		906
