paper_id	miss_MethodTag_codes	miss_MethodFamily_codes	miss_Methodology_codes	miss_MethodTransparency_codes	miss_MethodNormativity_codes	miss_vars_total	risk_notes_906	risk_notes_902	risk_transparency_missing	fixed_cross_conflict	preBN_quality_score
1	0	0	0	0	1	1	1	0	0	0	0.75
2	0	0	0	0	0	0	1	0	0	0	0.9
3	0	0	0	0	0	0	1	0	0	0	0.9
4	0	0	0	0	0	0	1	0	0	0	0.9
5	0	0	0	0	0	0	0	1	0	0	1.0
6	1	1	1	0	0	3	0	1	0	0	0.55
7	0	0	0	0	1	1	0	1	0	0	0.85
8	0	0	1	0	0	1	0	0	0	1	0.85
9	0	0	0	0	1	1	0	1	0	0	0.85
10	0	0	0	0	0	0	1	0	0	0	0.9
11	0	0	0	0	0	0	1	0	0	0	0.9
12	0	0	0	0	1	1	1	0	0	0	0.75
13	1	0	0	0	0	1	0	1	0	0	0.85
14	0	0	0	0	0	0	1	0	0	0	0.9
15	0	0	0	0	0	0	1	0	0	0	0.9
16	0	1	0	0	0	1	1	0	0	0	0.75
17	0	0	1	1	0	2	1	0	1	0	0.6
18	0	0	0	0	1	1	1	0	0	0	0.75
19	0	1	0	0	0	1	0	1	0	0	0.85
20	0	0	1	1	0	2	0	0	1	0	0.7
21	0	0	0	0	0	0	1	0	0	0	0.9
22	0	0	0	0	0	0	1	0	0	0	0.9
23	0	0	0	0	1	1	1	0	0	0	0.75
24	0	0	0	0	0	0	1	0	0	0	0.9
25	0	0	0	1	0	1	1	0	1	0	0.75
26	0	0	0	0	0	0	1	0	0	0	0.9
27	0	0	0	1	0	1	1	0	1	0	0.75
28	0	0	0	0	0	0	1	0	0	0	0.9
29	0	0	0	0	0	0	1	0	0	0	0.9
30	0	0	0	0	0	0	1	0	0	0	0.9
31	0	0	0	0	0	0	1	0	0	0	0.9
32	0	0	0	0	0	0	1	0	0	0	0.9
33	0	0	0	1	0	1	1	0	1	0	0.75
34	0	0	0	0	1	1	1	0	0	0	0.75
35	0	0	0	0	0	0	1	0	0	0	0.9
36	0	0	0	0	0	0	1	0	0	0	0.9
37	0	0	0	0	0	0	1	0	0	0	0.9
38	0	0	0	0	0	0	1	0	0	0	0.9
39	0	0	0	0	0	0	1	0	0	0	0.9
40	0	0	0	0	0	0	1	0	0	0	0.9
41	0	0	0	0	0	0	0	0	0	0	1.0
42	0	0	0	0	0	0	1	0	0	0	0.9
43	0	0	0	1	0	1	1	0	1	0	0.75
44	0	1	0	0	0	1	0	0	0	0	0.85
45	0	0	0	0	0	0	1	0	0	0	0.9
46	0	1	0	0	0	1	0	0	0	0	0.85
47	0	0	0	0	0	0	1	0	0	0	0.9
48	0	0	0	0	0	0	1	0	0	0	0.9
49	0	0	0	0	0	0	1	0	0	0	0.9
50	0	0	0	0	0	0	1	0	0	0	0.9
51	0	1	0	0	0	1	0	1	0	0	0.85
52	0	0	0	0	0	0	1	0	0	0	0.9
53	0	1	0	0	0	1	0	1	0	0	0.85
54	0	0	0	0	1	1	1	0	0	0	0.75
55	0	1	0	0	0	1	0	1	0	0	0.85
56	0	0	0	1	0	1	1	0	1	0	0.75
57	0	0	0	1	0	1	1	0	1	0	0.75
58	0	0	0	0	0	0	1	0	0	0	0.9
59	0	0	0	0	0	0	1	0	0	0	0.9
60	0	0	0	1	0	1	1	0	1	0	0.75
61	0	1	0	0	0	1	0	1	0	0	0.85
62	0	0	0	0	0	0	1	0	0	0	0.9
63	0	0	1	0	1	2	0	1	0	0	0.7
64	0	0	1	0	1	2	0	1	0	1	0.7
65	0	0	0	0	0	0	1	0	0	0	0.9
66	0	1	0	0	0	1	0	0	0	0	0.85
67	0	0	0	0	0	0	0	0	0	0	1.0
68	0	0	0	0	0	0	1	0	0	0	0.9
69	0	0	1	0	0	1	1	0	0	0	0.75
70	0	1	1	0	0	2	1	0	0	0	0.6
71	0	1	1	0	0	2	1	0	0	0	0.6
72	1	0	1	0	0	2	0	0	0	0	0.7
73	1	0	0	0	0	1	0	0	0	0	0.85
74	1	0	0	0	0	1	0	0	0	0	0.85
75	0	0	1	0	0	1	0	0	0	1	0.85
76	1	0	0	0	0	1	0	0	0	0	0.85
77	1	0	0	0	0	1	0	0	0	0	0.85
78	0	0	0	0	0	0	1	0	0	0	0.9
79	0	0	0	0	0	0	0	0	0	0	1.0
80	0	0	0	0	1	1	1	0	0	0	0.75
